We will be serving a plant-based meal (no animal products) for dinner. Please indicate below if you would prefer a meal with meat.,We will be serving a meal that contains meat for dinner. Please indicate below if you would prefer a plant-based meal.,"Are you vegan, vegetarian, or pescetarian? - Selected Choice",What is your age group?,Default Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,I would like a plant-based meal ordered for me.,Pescatarian,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,Other,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
,I would like a plant-based meal ordered for me.,Other,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
,I would like a plant-based meal ordered for me.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,Pescatarian,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,Vegetarian,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,Vegetarian,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
,I would like a plant-based meal ordered for me.,Other,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,Vegetarian,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,I would like a plant-based meal ordered for me.,Vegetarian,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,,18-24 years old,Undergraduate Student Event
,I would like a plant-based meal ordered for me.,Pescatarian,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,I would like a plant-based meal ordered for me.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,Other,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
Switch to a meal with meat.,,None of the above,18-24 years old,Undergraduate Student Event
,I would like a plant-based meal ordered for me.,Vegan,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,None of the above,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,Other,18-24 years old,Undergraduate Student Event
Stay with the plant-based meal.,,None of the above,18-24 years old,Undergraduate Student Event
,Stay with the meal with meat.,,18-24 years old,Undergraduate Student Event
